DATE,WORD,COUNT,TOTAL_PRINTS
1632,woman,0,0
1633,woman,0,0
1635,woman,0,0
1636,woman,0,0
1639,woman,0,0
1640,woman,1,0
1641,woman,1,0
1642,woman,2,0
1643,woman,1,0
1644,woman,0,0
1645,woman,1,0
1646,woman,0,0
1647,woman,0,0
1648,woman,0,0
1649,woman,1,0
1650,woman,0,0
1651,woman,4,0
1652,woman,0,0
1653,woman,0,0
1654,woman,0,0
1655,woman,1,0
1656,woman,0,0
1657,woman,0,0
1658,woman,0,0
1659,woman,0,0
1660,woman,4,0
1661,woman,3,0
1662,woman,1,0
1663,woman,1,0
1664,woman,0,0
1665,woman,1,0
1666,woman,0,0
1667,woman,0,0
1671,woman,0,0
1672,woman,0,0
1673,woman,0,0
1674,woman,1,0
1675,woman,1,0
1676,woman,1,0
1678,woman,0,0
1679,woman,3,0
1680,woman,3,0
1681,woman,3,0
1682,woman,2,0
1683,woman,0,0
1684,woman,0,0
1685,woman,2,0
1686,woman,1,0
1687,woman,0,0
1688,woman,9,0
1689,woman,3,0
1690,woman,2,0
1691,woman,1,0
1692,woman,0,0
1693,woman,1,0
1695,woman,0,0
1696,woman,2,0
1697,woman,1,0
1698,woman,0,0
1699,woman,0,0
1700,woman,3,0
1701,woman,1,0
1702,woman,4,0
1703,woman,0,0
1704,woman,0,0
1705,woman,2,0
1706,woman,5,0
1707,woman,1,0
1708,woman,0,0
1709,woman,1,0
1710,woman,2,0
1711,woman,0,0
1712,woman,2,0
1713,woman,2,0
1714,woman,0,0
1715,woman,2,0
1716,woman,0,0
1717,woman,0,0
1718,woman,2,0
1719,woman,0,0
1720,woman,45,0
1721,woman,2,0
1723,woman,2,0
1724,woman,7,0
1725,woman,2,0
1726,woman,2,0
1727,woman,0,0
1728,woman,3,0
1729,woman,2,0
1730,woman,4,0
1731,woman,4,0
1732,woman,16,0
1733,woman,4,0
1734,woman,8,0
1735,woman,16,0
1736,woman,6,0
1737,woman,2,0
1738,woman,19,0
1739,woman,1,0
1740,woman,11,0
1741,woman,6,0
1742,woman,10,0
1743,woman,4,0
1744,woman,0,0
1745,woman,8,0
1746,woman,1,0
1747,woman,17,0
1748,woman,1,0
1749,woman,4,0
1750,woman,5,0
1751,woman,9,0
1752,woman,1,0
1753,woman,3,0
1754,woman,2,0
1755,woman,2,0
1756,woman,4,0
1757,woman,1,0
1758,woman,5,0
1759,woman,2,0
1760,woman,0,0
1761,woman,3,0
1762,woman,5,0
1763,woman,5,0
1764,woman,1,0
1765,woman,5,0
1766,woman,3,0
1767,woman,0,0
1768,woman,4,0
1769,woman,15,0
1770,woman,33,164
1771,woman,30,178
1772,woman,71,312
1773,woman,57,249
1774,woman,33,121
1775,woman,28,95
1776,woman,18,96
1777,woman,40,105
1778,woman,45,108
1779,woman,24,108
1780,woman,70,253
1781,woman,53,173
1782,woman,48,221
1783,woman,42,254
1784,woman,81,420
1785,woman,38,163
1786,woman,47,238
1787,woman,24,132
1788,woman,51,261
1789,woman,21,165
1790,woman,37,199
1791,woman,50,262
1792,woman,37,239
1793,woman,47,170
1794,woman,62,229
1795,woman,59,261
1796,woman,64,255
1797,woman,34,220
1798,woman,46,244
1799,woman,26,188
1800,woman,59,233
1801,woman,42,170
1802,woman,29,147
1803,woman,29,308
1804,woman,25,190
1805,woman,42,218
1806,woman,33,226
1807,woman,62,246
1808,woman,87,297
1809,woman,62,297
1810,woman,54,202
1811,woman,52,158
1812,woman,59,174
1813,woman,50,230
1814,woman,50,276
1815,woman,32,262
1816,woman,42,134
1817,woman,21,131
1818,woman,53,228
1819,woman,64,309
1820,woman,68,691
1821,woman,55,286
1822,woman,32,170
1823,woman,27,162
1824,woman,33,176
1825,woman,55,230
1826,woman,47,174
1827,woman,25,190
1828,woman,34,215
1829,woman,52,461
1830,woman,54,0
1831,woman,55,0
1832,woman,39,0
1833,woman,7,0
1834,woman,3,0
1835,woman,2,0
1836,woman,5,0
1837,woman,0,0
1838,woman,0,0
1839,woman,0,0
1840,woman,0,0
1841,woman,0,0
1843,woman,1,0
1844,woman,0,0
1850,woman,0,0
1852,woman,0,0
1854,woman,0,0
1855,woman,0,0
1856,woman,0,0
1858,woman,0,0
1859,woman,0,0
1862,woman,0,0
1863,woman,1,0
1865,woman,0,0
1873,woman,0,0
1874,woman,0,0
1875,woman,0,0
1890,woman,0,0
1895,woman,0,0
1555,women,0,0
1570,women,0,0
1580,women,1,0
1585,women,0,0
1592,women,1,0
1599,women,0,0
1606,women,0,0
1607,women,0,0
1608,women,0,0
1609,women,0,0
1619,women,0,0
1620,women,0,0
1621,women,0,0
1623,women,0,0
1624,women,0,0
1625,women,0,0
1626,women,0,0
1627,women,0,0
1628,women,0,0
1630,women,1,0
1631,women,0,0
1632,women,0,0
1633,women,0,0
1635,women,0,0
1636,women,0,0
1639,women,0,0
1640,women,1,0
1641,women,0,0
1642,women,1,0
1643,women,0,0
1644,women,0,0
1645,women,1,0
1646,women,0,0
1647,women,1,0
1648,women,1,0
1649,women,0,0
1650,women,0,0
1651,women,1,0
1652,women,1,0
1653,women,0,0
1654,women,0,0
1655,women,0,0
1656,women,0,0
1657,women,0,0
1658,women,0,0
1659,women,0,0
1660,women,2,0
1661,women,0,0
1662,women,0,0
1663,women,0,0
1664,women,0,0
1665,women,1,0
1666,women,0,0
1667,women,0,0
1671,women,0,0
1672,women,0,0
1673,women,0,0
1674,women,0,0
1675,women,0,0
1676,women,0,0
1678,women,0,0
1679,women,0,0
1680,women,1,0
1681,women,0,0
1682,women,0,0
1683,women,0,0
1684,women,1,0
1685,women,0,0
1686,women,0,0
1687,women,0,0
1688,women,2,0
1689,women,4,0
1690,women,0,0
1691,women,0,0
1692,women,1,0
1693,women,0,0
1695,women,0,0
1696,women,0,0
1697,women,1,0
1698,women,0,0
1699,women,0,0
1700,women,0,0
1701,women,0,0
1702,women,3,0
1703,women,0,0
1704,women,0,0
1705,women,2,0
1706,women,1,0
1707,women,0,0
1708,women,0,0
1709,women,1,0
1710,women,2,0
1711,women,1,0
1712,women,0,0
1713,women,0,0
1714,women,0,0
1715,women,1,0
1716,women,0,0
1717,women,0,0
1718,women,0,0
1719,women,0,0
1720,women,13,0
1721,women,4,0
1723,women,0,0
1724,women,1,0
1725,women,0,0
1726,women,1,0
1727,women,0,0
1728,women,3,0
1729,women,1,0
1730,women,4,0
1731,women,0,0
1732,women,0,0
1733,women,6,0
1734,women,0,0
1735,women,2,0
1736,women,2,0
1737,women,0,0
1738,women,7,0
1739,women,1,0
1740,women,3,0
1741,women,2,0
1742,women,0,0
1743,women,1,0
1744,women,0,0
1745,women,3,0
1746,women,1,0
1747,women,0,0
1748,women,0,0
1749,women,3,0
1750,women,2,0
1751,women,1,0
1752,women,0,0
1753,women,2,0
1754,women,0,0
1755,women,3,0
1756,women,4,0
1757,women,0,0
1758,women,0,0
1759,women,0,0
1760,women,2,0
1761,women,1,0
1762,women,4,0
1763,women,2,0
1764,women,0,0
1765,women,1,0
1766,women,0,0
1767,women,0,0
1768,women,3,0
1769,women,0,0
1770,women,3,164
1771,women,2,178
1772,women,14,312
1773,women,4,249
1774,women,6,121
1775,women,7,95
1776,women,6,96
1777,women,11,105
1778,women,7,108
1779,women,4,108
1780,women,14,253
1781,women,10,173
1782,women,11,221
1783,women,7,254
1784,women,26,420
1785,women,15,163
1786,women,10,238
1787,women,9,132
1788,women,12,261
1789,women,11,165
1790,women,12,199
1791,women,15,262
1792,women,12,239
1793,women,10,170
1794,women,15,229
1795,women,15,261
1796,women,17,255
1797,women,10,220
1798,women,14,244
1799,women,10,188
1800,women,12,233
1801,women,13,170
1802,women,10,147
1803,women,18,308
1804,women,9,190
1805,women,10,218
1806,women,6,226
1807,women,17,246
1808,women,31,297
1809,women,24,297
1810,women,24,202
1811,women,18,158
1812,women,14,174
1813,women,18,230
1814,women,24,276
1815,women,11,262
1816,women,24,134
1817,women,13,131
1818,women,15,228
1819,women,29,309
1820,women,25,691
1821,women,17,286
1822,women,22,170
1823,women,8,162
1824,women,11,176
1825,women,19,230
1826,women,12,174
1827,women,13,190
1828,women,7,215
1829,women,18,461
1830,women,15,0
1831,women,7,0
1832,women,15,0
1833,women,7,0
1834,women,1,0
1835,women,3,0
1836,women,5,0
1837,women,0,0
1838,women,0,0
1839,women,0,0
1840,women,0,0
1841,women,0,0
1843,women,2,0
1844,women,0,0
1850,women,0,0
1852,women,0,0
1854,women,0,0
1855,women,0,0
1856,women,0,0
1858,women,0,0
1859,women,0,0
1862,women,0,0
1863,women,1,0
1865,women,0,0
1873,women,0,0
1874,women,0,0
1875,women,0,0
1890,women,0,0
1895,women,0,0
